id,x,y,demand,customer_type,time_window_start,time_window_end,service_time
0,24.71,24.49,3.5,normal,2.04,3.95,0.1413
1,32.45,4.96,2.4,urgent,0.28,0.94,0.0992
2,11.9,33.43,1.7,urgent,0.44,1.04,0.1376
3,28.85,22.47,3.6,normal,2.98,4.31,0.1602
4,21.68,21.41,3.7,normal,2.01,3.28,0.1309
5,4.79,28.76,1.5,relaxed,4.07,6.27,0.0918
6,13.04,18.48,1.8,normal,2.51,3.56,0.1179
7,25.57,24.25,2.8,relaxed,2.11,4.99,0.1356
8,23.99,21.41,2.4,urgent,0.21,0.72,0.1206
9,36.74,21.48,2.9,normal,1.93,3.15,0.1354
10,1.43,24.72,1.5,normal,1.55,2.96,0.1079
11,35.49,24.34,2.7,relaxed,4.41,6.9,0.134
12,32.47,27.38,2.8,normal,2.03,3.06,0.1058
13,37.18,14.98,3.9,normal,1.2,2.94,0.1609
14,24.75,13.54,2.2,relaxed,3.59,6.19,0.1068
15,24.3,31.43,2.1,relaxed,4.08,7.54,0.1062
16,46.88,17.44,1.7,urgent,0.29,0.84,0.1325
17,20.46,41.12,1.5,urgent,0.17,0.79,0.1344
18,28.09,23.68,3.5,normal,2.33,3.61,0.1386
19,29.39,34.23,2.5,normal,1.14,2.81,0.1113
20,24.45,20.76,4.4,normal,2.04,3.84,0.1253
21,14.25,22.31,3.3,normal,1.38,3.18,0.1135
22,18.53,25.12,2.5,normal,2.59,3.99,0.1458
23,28.41,18.96,3.9,normal,1.74,3.03,0.1324
24,25.39,17.69,4.0,normal,2.91,4.09,0.1484
25,18.5,28.54,1.8,normal,2.06,3.46,0.1367
26,24.07,23.04,4.0,relaxed,4.85,8.0,0.1545
27,22.06,31.13,2.0,normal,1.89,3.46,0.1444
28,28.75,15.74,4.5,normal,1.87,2.9,0.1256
29,31.16,19.01,1.9,urgent,0.44,1.06,0.1161
